text,label
"Hey Alex, I shared the minutes for the bugfix release. Please review when you have a moment. [id:0223]",ham
"Hi Morgan, can we move our 1:1 to Friday 2pm? Let me know what works. [id:0213]",ham
"Hello Avery, the proposal from Umbrella is ready. I included the zip file in the thread. [id:0079]",ham
"Hello Taylor, the proposal from Stark Industries is ready. I included the attached PDF in the thread. [id:0150]",ham
Exclusive promotion just for you: get a cash reward. last chance — claim now: http://example.com/redeem. [id:0180],spam
"Hi Chris, can we move our client call to this afternoon? Let me know what works. [id:0241]",ham
"Hey Taylor, I shared the report for the RAG platform. Please review when you have a moment. [id:0013]",ham
"Casey, quick update on the RAG platform: I fixed the issue and pushed a new commit. Notes are in the agenda. [id:0198]",ham
"Taylor, quick update on the bugfix release: I fixed the issue and pushed a new commit. Notes are in the slides. [id:0212]",ham
Security alert: unusual activity detected. Please claim now using http://example.com/claim to avoid suspension. [id:0246],spam
Security Desk: Your account needs attention. urgent. verify your account at http://example.com/win. [id:0147],spam
Exclusive promotion just for you: get a exclusive deal. offer expires soon — confirm your details: http://example.com/redeem. [id:0136],spam
Security Desk: Your account needs attention. final notice. unlock access at http://example.com/redeem. [id:0188],spam
Exclusive promotion just for you: get a free iPhone. urgent — confirm your details: http://example.com/redeem. [id:0109],spam
Security Desk: Your account needs attention. final notice. confirm your details at http://example.com/login. [id:0112],spam
Congratulations! Your shopping voucher is waiting. confirm your details to complete the request: http://example.com/redeem. [id:0020],spam
Exclusive promotion just for you: get a gift card. offer expires soon — unlock access: http://example.com/redeem. [id:0067],spam
"Hi Riley, can we move our project review to Tuesday 11am? Let me know what works. [id:0019]",ham
"Hello Alex, the minutes from Wayne Enterprises is ready. I included the attached PDF in the thread. [id:0168]",ham
Promotions: Your account needs attention. urgent. click here at http://example.com/claim. [id:0249],spam
"Hello Jordan, the invoice from Globex is ready. I included the zip file in the thread. [id:0242]",ham
"Hi Avery, can we move our retrospective to Tuesday 11am? Let me know what works. [id:0166]",ham
"Hi Sam, are you free for coffee tomorrow 10am? [id:0197]",ham
Exclusive promotion just for you: get a cash reward. act now — unlock access: http://example.com/verify. [id:0191],spam
"Hi Casey, are you free for coffee this afternoon? [id:0010]",ham
Congratulations! Your gift card is waiting. unlock access to complete the request: http://example.com/login. [id:0032],spam
"Limited time: You have been selected for a free iPhone. To proceed, claim now at http://example.com/win. [id:0170]",spam
"Urgent: You have been selected for a cash reward. To proceed, confirm your details at http://example.com/login. [id:0042]",spam
Exclusive promotion just for you: get a exclusive deal. limited time — verify your account: http://example.com/win. [id:0126],spam
"Hi Morgan, can we move our 1:1 to this afternoon? Let me know what works. [id:0117]",ham
"Hi Chris, can we move our 1:1 to this afternoon? Let me know what works. [id:0193]",ham
Security alert: unusual activity detected. Please click here using http://example.com/claim to avoid suspension. [id:0151],spam
Security alert: unusual activity detected. Please claim now using http://example.com/redeem to avoid suspension. [id:0148],spam
"Hi Jordan, are you free for dinner this afternoon? [id:0122]",ham
Exclusive promotion just for you: get a premium membership. final notice — redeem today: http://example.com/redeem. [id:0232],spam
Exclusive promotion just for you: get a free iPhone. final notice — claim now: http://example.com/redeem. [id:0069],spam
Exclusive promotion just for you: get a shopping voucher. offer expires soon — click here: http://example.com/win. [id:0123],spam
"Limited time: You have been selected for a exclusive deal. To proceed, redeem today at http://example.com/redeem. [id:0029]",spam
Congratulations! Your cash reward is waiting. claim now to complete the request: http://example.com/redeem. [id:0062],spam
"Hello Morgan, the slides from Wayne Enterprises is ready. I included the doc in the thread. [id:0059]",ham
"Hey Chris, I shared the invoice for the RAG platform. Please review when you have a moment. [id:0012]",ham
"Hi Avery, can we move our retrospective to Friday 2pm? Let me know what works. [id:0240]",ham
Security alert: unusual activity detected. Please confirm your details using http://example.com/redeem to avoid suspension. [id:0119],spam
Congratulations! Your gift card is waiting. click here to complete the request: http://example.com/redeem. [id:0026],spam
"Hello Riley, the minutes from Globex is ready. I included the spreadsheet in the thread. [id:0155]",ham
"Urgent: You have been selected for a free iPhone. To proceed, click here at http://example.com/redeem. [id:0221]",spam
Exclusive promotion just for you: get a shopping voucher. final notice — redeem today: http://example.com/redeem. [id:0208],spam
Congratulations! Your gift card is waiting. confirm your details to complete the request: http://example.com/claim. [id:0183],spam
Congratulations! Your gift card is waiting. claim now to complete the request: http://example.com/win. [id:0160],spam
"Hi Casey, are you free for dinner this afternoon? [id:0139]",ham
"Hello Alex, the agenda from Umbrella is ready. I included the slides in the thread. [id:0003]",ham
Billing Dept: Your account needs attention. limited time. claim now at http://example.com/login. [id:0110],spam
Security alert: unusual activity detected. Please verify your account using http://example.com/login to avoid suspension. [id:0011],spam
"Final notice: You have been selected for a shopping voucher. To proceed, unlock access at http://example.com/win. [id:0207]",spam
Exclusive promotion just for you: get a free iPhone. last chance — unlock access: http://example.com/redeem. [id:0130],spam
"Casey, quick update on the website update: I fixed the issue and pushed a new commit. Notes are in the proposal. [id:0179]",ham
"Hello Chris, the minutes from Initech is ready. I included the doc in the thread. [id:0094]",ham
"Hey Jordan, I shared the report for the course project. Please review when you have a moment. [id:0096]",ham
"Limited time: You have been selected for a premium membership. To proceed, redeem today at http://example.com/login. [id:0111]",spam
Account Services: Your account needs attention. offer expires soon. confirm your details at http://example.com/redeem. [id:0172],spam
Promotions: Your account needs attention. last chance. verify your account at http://example.com/login. [id:0143],spam
"Hi Avery, are you free for lunch today 3pm? [id:0025]",ham
Congratulations! Your shopping voucher is waiting. confirm your details to complete the request: http://example.com/verify. [id:0018],spam
"Hey Sam, I shared the proposal for the bugfix release. Please review when you have a moment. [id:0188]",ham
"Hey Taylor, I shared the invoice for the RAG platform. Please review when you have a moment. [id:0041]",ham
"Hi Taylor, can we move our project review to this evening? Let me know what works. [id:0237]",ham
Reminder: sync scheduled for Tuesday 11am. Agenda and proposal are in the calendar invite. [id:0204],ham
Reminder: retrospective scheduled for Friday 2pm. Agenda and notes are in the calendar invite. [id:0034],ham
"Hello Morgan, the slides from Contoso is ready. I included the attached PDF in the thread. [id:0009]",ham
"Hey Jordan, I shared the notes for the website update. Please review when you have a moment. [id:0130]",ham
Account Services: Your account needs attention. act now. claim now at http://example.com/redeem. [id:0028],spam
Promotions: Your account needs attention. urgent. claim now at http://example.com/verify. [id:0100],spam
"Hey Morgan, I shared the slides for the internship application. Please review when you have a moment. [id:0249]",ham
Congratulations! Your cash reward is waiting. click here to complete the request: http://example.com/redeem. [id:0073],spam
"Act now: You have been selected for a shopping voucher. To proceed, confirm your details at http://example.com/win. [id:0004]",spam
Billing Dept: Your account needs attention. urgent. confirm your details at http://example.com/verify. [id:0185],spam
Congratulations! Your premium membership is waiting. confirm your details to complete the request: http://example.com/claim. [id:0164],spam
Reminder: standup scheduled for today 3pm. Agenda and notes are in the calendar invite. [id:0165],ham
Exclusive promotion just for you: get a free iPhone. urgent — unlock access: http://example.com/redeem. [id:0167],spam
"Hi Jordan, can we move our project review to Tuesday 11am? Let me know what works. [id:0233]",ham
